,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,min_supplied_demand,min_deficit_sq,supplied_demand_GINI,experiment,scenario
0,0.414421904,0.824331327,-0.358002743,0.253249601,5.751,1.349,0,0.4,2.2,3.328676197,0.279655137,1.054517145,0.582815544,0.718085976,2.93292,0.75717,0.94351,0.78229,1.20143,1.13494,0.36934,1.11765,0.74501,0.59769,0.13494,0.63066,0.11765,0.25499,0.40231,182,54,175,110,88,0.36934,0.01232,0.206945919,gini minimization and supply per capita maximization - 5k nfe,2020_drought
1,-0.104947697,0.582349435,0.411647422,-0.301547725,5.751,1.349,0,0.4,2.2,2.991085957,0.436943368,0.396956308,0.559787522,1.578976846,2.93292,0.75717,0.94351,0.78229,1.20143,1.01983,0.57707,0.42072,0.71558,1.31425,0.01983,0.42293,0.57928,0.28442,0.31425,163,85,66,106,193,0.42072,0.00338,0.220367886,gini minimization and supply per capita maximization - 5k nfe,2020_drought
2,-0.659536025,-0.653244028,-0.25888975,0.837860275,5.751,1.349,0,0.4,2.2,2.630603544,1.240079118,0.029669719,1.660885135,0.402512484,2.93292,0.75717,0.94351,0.78229,1.20143,0.89692,1.63778,0.03145,2.12311,0.33503,0.10308,0.63778,0.96855,1.12311,0.66497,144,241,5,314,49,0.03145,0.0914,0.436763801,gini minimization and supply per capita maximization - 5k nfe,2020_drought
3,-0.57435877,-0.392320612,-0.827395616,-0.537424395,5.751,1.349,0,0.4,2.2,2.68596876,1.070478898,0.568798753,0.711584883,0.926918706,2.93292,0.75717,0.94351,0.78229,1.20143,0.9158,1.41379,0.60285,0.90962,0.77151,0.0842,0.41379,0.39715,0.09038,0.22849,147,208,94,134,113,0.60285,0.005,0.153128272,gini minimization and supply per capita maximization - 5k nfe,2020_drought
4,-0.569396146,0.233752225,-0.314654963,0.473283123,5.751,1.349,0,0.4,2.2,2.689194465,0.663531554,0.642464672,1.365319065,0.603240244,2.93292,0.75717,0.94351,0.78229,1.20143,0.9169,0.87633,0.68093,1.74529,0.5021,0.0831,0.12367,0.31907,0.74529,0.4979,147,129,106,258,74,0.5021,0.00877,0.23063189,gini minimization and supply per capita maximization - 5k nfe,2020_drought
5,0.053127886,0.733589721,0.232010671,0.324649911,5.751,1.349,0,0.4,2.2,3.093835086,0.338637181,0.612026383,0.864066856,1.055184494,2.93292,0.75717,0.94351,0.78229,1.20143,1.05487,0.44724,0.64867,1.10454,0.87827,0.05487,0.55276,0.35133,0.10454,0.12173,169,66,101,163,129,0.44724,0.00669,0.166518692,gini minimization and supply per capita maximization - 5k nfe,2020_drought
6,0.330218003,-0.235640206,0.109021786,-0.71873188,5.751,1.349,0,0.4,2.2,3.273943662,0.968636634,0.061969705,0.005760116,1.653439883,2.93292,0.75717,0.94351,0.78229,1.20143,1.11627,1.27929,0.06568,0.00736,1.37623,0.11627,0.27929,0.93432,0.99264,0.37623,179,188,10,1,202,0.00736,0.04472,0.411081894,gini minimization and supply per capita maximization - 5k nfe,2020_drought
7,-0.189746239,0.90693712,-0.214747621,-0.670332993,5.751,1.349,0,0.4,2.2,2.935966904,0.225961372,1.015095082,0.37519615,1.411530492,2.93292,0.75717,0.94351,0.78229,1.20143,1.00104,0.29843,1.07587,0.47961,1.17488,0.00104,0.70157,0.07587,0.52039,0.17488,160,44,168,71,172,0.29843,1.00E-05,0.233177082,gini minimization and supply per capita maximization - 5k nfe,2020_drought
8,0.329266021,0.663683649,0.595876864,-0.185472226,5.751,1.349,0,0.4,2.2,3.273324874,0.384076128,0.33007441,0.352997679,1.623276908,2.93292,0.75717,0.94351,0.78229,1.20143,1.11606,0.50725,0.34984,0.45124,1.35112,0.11606,0.49275,0.65016,0.54876,0.35112,179,75,55,67,198,0.34984,0.11588,0.282598113,gini minimization and supply per capita maximization - 5k nfe,2020_drought
9,-0.546724293,0.503688231,-0.236889501,0.733760047,5.751,1.349,0,0.4,2.2,2.70393117,0.48807315,0.767375526,1.519892361,0.484477794,2.93292,0.75717,0.94351,0.78229,1.20143,0.92192,0.6446,0.81332,1.94288,0.40325,0.07808,0.3554,0.18668,0.94288,0.59675,148,95,127,287,59,0.40325,0.03102,0.284096598,gini minimization and supply per capita maximization - 5k nfe,2020_drought
10,-0.559795686,-0.212236112,-0.837665192,0.159357021,5.751,1.349,0,0.4,2.2,2.695434764,0.953423973,0.692528902,1.155026799,0.467335562,2.93292,0.75717,0.94351,0.78229,1.20143,0.91903,1.25919,0.73399,1.47647,0.38898,0.08097,0.25919,0.26601,0.47647,0.61102,147,185,115,218,57,0.38898,0.03852,0.226067154,gini minimization and supply per capita maximization - 5k nfe,2020_drought
11,-0.795694044,0.409406672,-0.302096506,-0.605745625,5.751,1.349,0,0.4,2.2,2.542100831,0.549356163,0.748477066,0.811044012,1.312771927,2.93292,0.75717,0.94351,0.78229,1.20143,0.86675,0.72554,0.79329,1.03676,1.09267,0.13325,0.27446,0.20671,0.03676,0.09267,139,107,124,153,160,0.72554,0.00083,0.086620406,gini minimization and supply per capita maximization - 5k nfe,2020_drought
12,-0.471497964,-0.075253138,-0.88745367,-0.551855723,5.751,1.349,0,0.4,2.2,2.752828283,0.86438504,0.813930345,0.635344997,0.897261335,2.93292,0.75717,0.94351,0.78229,1.20143,0.9386,1.1416,0.86266,0.81216,0.74683,0.0614,0.1416,0.13734,0.18784,0.25317,150,168,135,120,109,0.74683,0.0115,0.081386985,gini minimization and supply per capita maximization - 5k nfe,2020_drought
13,0.421379591,0.90896222,-0.347856665,-0.478416749,5.751,1.349,0,0.4,2.2,3.333198694,0.224645057,1.102932275,0.102709919,1.200264055,2.93292,0.75717,0.94351,0.78229,1.20143,1.13648,0.29669,1.16897,0.13129,0.99903,0.13648,0.70331,0.16897,0.86871,0.00097,182,44,183,19,146,0.13129,0,0.312410582,gini minimization and supply per capita maximization - 5k nfe,2020_drought
14,-0.896003258,0.46123796,-0.386241537,0.342323519,5.751,1.349,0,0.4,2.2,2.476899842,0.515665826,0.836861673,1.492489945,0.641832713,2.93292,0.75717,0.94351,0.78229,1.20143,0.84452,0.68104,0.88697,1.90785,0.53422,0.15548,0.31896,0.11303,0.90785,0.46578,135,100,139,282,78,0.53422,0.01137,0.243331273,gini minimization and supply per capita maximization - 5k nfe,2020_drought
15,-0.673174716,0.484426348,0.555252971,-0.918375545,5.751,1.349,0,0.4,2.2,2.621738395,0.500593374,0.239962695,0.528197001,2.073258535,2.93292,0.75717,0.94351,0.78229,1.20143,0.8939,0.66114,0.25433,0.67519,1.72566,0.1061,0.33886,0.74567,0.32481,0.72566,143,97,40,100,253,0.25433,0.06456,0.301686848,gini minimization and supply per capita maximization - 5k nfe,2020_drought
16,0.506649116,-0.394400376,0.004648249,-0.47572057,5.751,1.349,0,0.4,2.2,3.388623886,1.071830745,0.026618393,0.049037244,1.427639733,2.93292,0.75717,0.94351,0.78229,1.20143,1.15538,1.41557,0.02821,0.06268,1.18828,0.15538,0.41557,0.97179,0.93732,0.18828,185,208,4,9,174,0.02821,0.05117,0.405215422,gini minimization and supply per capita maximization - 5k nfe,2020_drought
17,0.153205617,-0.047374198,-0.333593047,0.057255951,5.751,1.349,0,0.4,2.2,3.158885611,0.846263729,0.472042252,0.625210258,0.861348151,2.93292,0.75717,0.94351,0.78229,1.20143,1.07704,1.11767,0.5003,0.79921,0.71694,0.07704,0.11767,0.4997,0.20079,0.28306,173,164,78,118,105,0.5003,0.00794,0.151487001,gini minimization and supply per capita maximization - 5k nfe,2020_drought
18,-0.604391654,0.143288413,-0.286642696,0.816901915,5.751,1.349,0,0.4,2.2,2.666447385,0.722333031,0.565455221,1.61141836,0.398096003,2.93292,0.75717,0.94351,0.78229,1.20143,0.90914,0.95399,0.59931,2.05987,0.33135,0.09086,0.04601,0.40069,1.05987,0.66865,146,140,94,304,49,0.33135,0.00121,0.314131604,gini minimization and supply per capita maximization - 5k nfe,2020_drought
19,0.242262788,0.234205251,0.02611259,0.281272816,5.751,1.349,0,0.4,2.2,3.216772772,0.663237087,0.42126023,0.712934059,0.949545852,2.93292,0.75717,0.94351,0.78229,1.20143,1.09678,0.87594,0.44648,0.91134,0.79035,0.09678,0.12406,0.55352,0.08866,0.20965,176,129,70,135,116,0.44648,0.00481,0.137988638,gini minimization and supply per capita maximization - 5k nfe,2020_drought
20,0.193912167,0.201820833,0.03600113,0.882579435,5.751,1.349,0,0.4,2.2,3.185344869,0.684286959,0.393782807,1.135211264,0.565124101,2.93292,0.75717,0.94351,0.78229,1.20143,1.08607,0.90374,0.41736,1.45114,0.47038,0.08607,0.09626,0.58264,0.45114,0.52962,174,133,65,214,69,0.41736,0.00531,0.247950304,gini minimization and supply per capita maximization - 5k nfe,2020_drought
21,-0.464862988,0.917268683,-0.26740862,-0.795232746,5.751,1.349,0,0.4,2.2,2.757141018,0.219245856,1.056040247,0.472837197,1.458485683,2.93292,0.75717,0.94351,0.78229,1.20143,0.94007,0.28956,1.11927,0.60443,1.21396,0.05993,0.71044,0.11927,0.39557,0.21396,151,43,175,89,178,0.28956,0.01266,0.226875499,gini minimization and supply per capita maximization - 5k nfe,2020_drought
22,-0.011850811,-0.590803758,-0.420990973,-0.754616226,5.751,1.349,0,0.4,2.2,3.051598933,1.199492943,0.17562169,0.20478002,1.332256415,2.93292,0.75717,0.94351,0.78229,1.20143,1.04046,1.58418,0.18614,0.26177,1.10889,0.04046,0.58418,0.81386,0.73823,0.10889,167,233,29,39,162,0.18614,0.01408,0.348511518,gini minimization and supply per capita maximization - 5k nfe,2020_drought
23,0.903091597,0.735638679,0.003616461,0.895776606,5.751,1.349,0,0.4,2.2,3.646311498,0.337305358,0.761814442,0.682822796,0.535495906,2.93292,0.75717,0.94351,0.78229,1.20143,1.24324,0.44548,0.80743,0.87285,0.44572,0.24324,0.55452,0.19257,0.12715,0.55428,199,65,126,129,65,0.44548,0.00989,0.212088961,gini minimization and supply per capita maximization - 5k nfe,2020_drought
24,0.279421178,0.473822265,0.733385473,-0.275471212,5.751,1.349,0,0.4,2.2,3.240925726,0.507486028,0.117283915,0.326897486,1.771156845,2.93292,0.75717,0.94351,0.78229,1.20143,1.10502,0.67024,0.12431,0.41787,1.47421,0.10502,0.32976,0.87569,0.58213,0.47421,177,98,19,62,216,0.12431,0.06234,0.357306186,gini minimization and supply per capita maximization - 5k nfe,2020_drought
25,0.816658359,0.271586804,0.059980031,0.993523346,5.751,1.349,0,0.4,2.2,3.590129893,0.638939077,0.423544403,0.802539782,0.508596845,2.93292,0.75717,0.94351,0.78229,1.20143,1.22408,0.84385,0.4489,1.02589,0.42333,0.22408,0.15615,0.5511,0.02589,0.57667,196,124,70,152,62,0.42333,0.00041,0.219713821,gini minimization and supply per capita maximization - 5k nfe,2020_drought
26,-0.367523157,0.151615367,0.121044835,-0.554075224,5.751,1.349,0,0.4,2.2,2.820411908,0.716920512,0.305870846,0.566318696,1.554228038,2.93292,0.75717,0.94351,0.78229,1.20143,0.96164,0.94684,0.32418,0.72392,1.29365,0.03836,0.05316,0.67582,0.27608,0.29365,154,139,51,107,190,0.32418,0.00162,0.204851032,gini minimization and supply per capita maximization - 5k nfe,2020_drought
27,0.747014618,0.633562833,0.46842558,0.481199031,5.751,1.349,0,0.4,2.2,3.544861461,0.403654659,0.393339214,0.514797409,1.107097257,2.93292,0.75717,0.94351,0.78229,1.20143,1.20865,0.53311,0.41689,0.65806,0.92148,0.20865,0.46689,0.58311,0.34194,0.07852,194,78,65,97,135,0.41689,0.0089,0.210999441,gini minimization and supply per capita maximization - 5k nfe,2020_drought
28,0.098748591,0.43387249,-0.685318112,-0.351217379,5.751,1.349,0,0.4,2.2,3.123488544,0.533453382,1.013473891,0.39509966,0.898234523,2.93292,0.75717,0.94351,0.78229,1.20143,1.06498,0.70454,1.07415,0.50506,0.74764,0.06498,0.29546,0.07415,0.49494,0.25236,171,103,168,75,110,0.50506,0.00489,0.146336391,gini minimization and supply per capita maximization - 5k nfe,2020_drought
29,-0.264530607,-0.412225123,-0.489459939,-0.220133693,5.751,1.349,0,0.4,2.2,2.887357065,1.08341683,0.33620263,0.716435535,0.94033794,2.93292,0.75717,0.94351,0.78229,1.20143,0.98446,1.43088,0.35633,0.91582,0.78268,0.01554,0.43088,0.64367,0.08418,0.21732,158,210,56,135,115,0.35633,0.00208,0.210361575,gini minimization and supply per capita maximization - 5k nfe,2020_drought
30,-0.107771107,0.375037216,-0.87459857,0.244388092,5.751,1.349,0,0.4,2.2,2.98925074,0.571696309,1.098263261,0.916481019,0.38805867,2.93292,0.75717,0.94351,0.78229,1.20143,1.01921,0.75504,1.16402,1.17154,0.323,0.01921,0.24496,0.16402,0.17154,0.677,163,111,182,173,47,0.323,0.00317,0.190042885,gini minimization and supply per capita maximization - 5k nfe,2020_drought
31,0.233367969,-0.413752487,-0.035184811,0.862254497,5.751,1.349,0,0.4,2.2,3.21099114,1.084409617,0.03993101,1.096353783,0.53206445,2.93292,0.75717,0.94351,0.78229,1.20143,1.09481,1.43219,0.04232,1.40147,0.44286,0.09481,0.43219,0.95768,0.40147,0.55714,175,210,7,207,65,0.04232,0.07732,0.338798953,gini minimization and supply per capita maximization - 5k nfe,2020_drought
32,0.013258105,0.860567271,0.789147181,0.859901384,5.751,1.349,0,0.4,2.2,3.067919728,0.256101774,0.332423059,1.237895672,1.069409768,2.93292,0.75717,0.94351,0.78229,1.20143,1.04603,0.33824,0.35233,1.5824,0.89011,0.04603,0.66176,0.64767,0.5824,0.10989,168,50,55,234,130,0.33824,0.01743,0.302393618,gini minimization and supply per capita maximization - 5k nfe,2020_drought
33,-0.767595433,0.069319464,-0.27695615,-0.798168262,5.751,1.349,0,0.4,2.2,2.560364928,0.770412848,0.511079149,0.667705201,1.454187873,2.93292,0.75717,0.94351,0.78229,1.20143,0.87297,1.01749,0.54168,0.85353,1.21038,0.12703,0.01749,0.45832,0.14647,0.21038,140,149,85,126,177,0.54168,0.00018,0.133571468,gini minimization and supply per capita maximization - 5k nfe,2020_drought
34,-0.796942383,-0.944012027,-0.796525989,0.260528056,5.751,1.349,0,0.4,2.2,2.541289411,1.429078318,0.190134075,1.374933325,0.428314871,2.93292,0.75717,0.94351,0.78229,1.20143,0.86647,1.88739,0.20152,1.75757,0.3565,0.13353,0.88739,0.79848,0.75757,0.6435,139,277,31,260,52,0.20152,0.15337,0.376593911,gini minimization and supply per capita maximization - 5k nfe,2020_drought
35,0.744030995,-0.119659808,-0.091224926,0.588108308,5.751,1.349,0,0.4,2.2,3.542922107,0.893249375,0.267517326,0.586227793,0.673833398,2.93292,0.75717,0.94351,0.78229,1.20143,1.20798,1.17972,0.28353,0.74937,0.56086,0.20798,0.17972,0.71647,0.25063,0.43914,194,173,44,111,82,0.28353,0.01852,0.247925133,gini minimization and supply per capita maximization - 5k nfe,2020_drought
36,0.625470875,0.625704356,0.194891536,0.006478965,5.751,1.349,0,0.4,2.2,3.465858029,0.408762669,0.566028333,0.285232799,1.237868171,2.93292,0.75717,0.94351,0.78229,1.20143,1.18171,0.53986,0.59992,0.36461,1.03033,0.18171,0.46014,0.40008,0.63539,0.03033,189,79,94,54,151,0.36461,0.00133,0.228678597,gini minimization and supply per capita maximization - 5k nfe,2020_drought
37,0.187400253,0.008528387,0.429104031,0.266469772,5.751,1.349,0,0.4,2.2,3.181112124,0.809927048,0.012625831,0.738972728,1.221112268,2.93292,0.75717,0.94351,0.78229,1.20143,1.08462,1.06968,0.01338,0.94463,1.01638,0.08462,0.06968,0.98662,0.05537,0.01638,174,157,2,140,149,0.01338,0.00039,0.219685179,gini minimization and supply per capita maximization - 5k nfe,2020_drought
38,-0.433053332,-0.53162023,-0.341410037,0.067961387,5.751,1.349,0,0.4,2.2,2.777817294,1.16102365,0.162363375,1.013237107,0.849308574,2.93292,0.75717,0.94351,0.78229,1.20143,0.94712,1.53337,0.17208,1.29522,0.70691,0.05288,0.53337,0.82792,0.29522,0.29309,152,225,27,191,104,0.17208,0.02406,0.284520162,gini minimization and supply per capita maximization - 5k nfe,2020_drought
39,0.596938397,0.033150714,-0.500159631,0.032233085,5.751,1.349,0,0.4,2.2,3.447311918,0.793922536,0.632651724,0.320519088,0.769344735,2.93292,0.75717,0.94351,0.78229,1.20143,1.17539,1.04854,0.67053,0.40972,0.64036,0.17539,0.04854,0.32947,0.59028,0.35964,188,154,105,61,94,0.40972,0.00135,0.196678954,gini minimization and supply per capita maximization - 5k nfe,2020_drought
40,0.01580906,0.934779177,-0.991641952,-0.623209665,5.751,1.349,0,0.4,2.2,3.069577849,0.207864035,1.538173734,0.272215369,0.875919013,2.93292,0.75717,0.94351,0.78229,1.20143,1.04659,0.27453,1.63027,0.34797,0.72906,0.04659,0.72547,0.63027,0.65203,0.27094,168,40,255,51,107,0.27453,0.01868,0.338604217,gini minimization and supply per capita maximization - 5k nfe,2020_drought
41,-0.628936442,-0.194360513,0.186237922,0.667925041,5.751,1.349,0,0.4,2.2,2.650493273,0.941804833,0.038611017,1.530537504,0.802303373,2.93292,0.75717,0.94351,0.78229,1.20143,0.9037,1.24385,0.04092,1.95648,0.66779,0.0963,0.24385,0.95908,0.95648,0.33221,145,183,6,289,98,0.04092,0.03409,0.366292798,gini minimization and supply per capita maximization - 5k nfe,2020_drought
42,-0.521616,0.587783618,-0.008300074,0.498076021,5.751,1.349,0,0.4,2.2,2.72025156,0.433411148,0.673454399,1.350377354,0.786255538,2.93292,0.75717,0.94351,0.78229,1.20143,0.92749,0.57241,0.71378,1.72619,0.65443,0.07251,0.42759,0.28622,0.72619,0.34557,149,84,111,255,96,0.57241,0.04523,0.224680147,gini minimization and supply per capita maximization - 5k nfe,2020_drought
43,0.745374411,0.477121917,0.629176346,0.650451729,5.751,1.349,0,0.4,2.2,3.543795327,0.505341254,0.187164622,0.625877796,1.101571001,2.93292,0.75717,0.94351,0.78229,1.20143,1.20828,0.66741,0.19837,0.80006,0.91688,0.20828,0.33259,0.80163,0.19994,0.08312,194,98,31,118,134,0.19837,0.00997,0.239439726,gini minimization and supply per capita maximization - 5k nfe,2020_drought
44,-0.67455447,0.903515273,-0.437926189,-0.474468254,5.751,1.349,0,0.4,2.2,2.620841555,0.228185572,1.157936951,0.81763358,1.139152342,2.93292,0.75717,0.94351,0.78229,1.20143,0.89359,0.30137,1.22727,1.04518,0.94816,0.10641,0.69863,0.22727,0.04518,0.05184,143,44,192,154,139,0.30137,0.00125,0.181484157,gini minimization and supply per capita maximization - 5k nfe,2020_drought
45,0.174479072,0.933070851,0.417565425,-0.736421695,5.751,1.349,0,0.4,2.2,3.172713357,0.208974447,0.621078527,0.095492041,1.865491628,2.93292,0.75717,0.94351,0.78229,1.20143,1.08176,0.27599,0.65826,0.12207,1.55273,0.08176,0.72401,0.34174,0.87793,0.55273,173,41,103,18,227,0.12207,0.0575,0.397429291,gini minimization and supply per capita maximization - 5k nfe,2020_drought
46,0.179895881,0.216492624,-0.256054758,0.927678076,5.751,1.349,0,0.4,2.2,3.176234282,0.674750294,0.593155798,1.173635967,0.345973658,2.93292,0.75717,0.94351,0.78229,1.20143,1.08296,0.89115,0.62867,1.50026,0.28797,0.08296,0.10885,0.37133,0.50026,0.71203,174,131,98,222,42,0.28797,0.00679,0.262251282,gini minimization and supply per capita maximization - 5k nfe,2020_drought
47,-0.362994602,0.2018253,0.167521674,-0.405587323,5.751,1.349,0,0.4,2.2,2.823355469,0.684284055,0.308297357,0.659892271,1.487920848,2.93292,0.75717,0.94351,0.78229,1.20143,0.96264,0.90374,0.32676,0.84354,1.23846,0.03736,0.09626,0.67324,0.15646,0.23846,154,133,51,125,181,0.32676,0.00531,0.181748434,gini minimization and supply per capita maximization - 5k nfe,2020_drought
48,0.869298647,0.290598457,0.597173478,0.907473064,5.751,1.349,0,0.4,2.2,3.62434608,0.626581503,0.086726236,0.712390911,0.913705269,2.93292,0.75717,0.94351,0.78229,1.20143,1.23575,0.82753,0.09192,0.91065,0.76051,0.23575,0.17247,0.90808,0.08935,0.23949,198,122,14,135,111,0.09192,0.00489,0.254842723,gini minimization and supply per capita maximization - 5k nfe,2020_drought
49,0.171309845,0.789977565,-0.676178245,0.166939634,5.751,1.349,0,0.4,2.2,3.170653359,0.301985083,1.239001277,0.684736903,0.567373378,2.93292,0.75717,0.94351,0.78229,1.20143,1.08106,0.39883,1.31318,0.8753,0.47225,0.08106,0.60117,0.31318,0.1247,0.52775,173,59,205,129,69,0.39883,0.00952,0.235472948,gini minimization and supply per capita maximization - 5k nfe,2020_drought
50,0.059924796,0.415561166,-0.100757161,0.745987428,5.751,1.349,0,0.4,2.2,3.098253077,0.545355742,0.621606913,1.133518251,0.565016017,2.93292,0.75717,0.94351,0.78229,1.20143,1.05637,0.72026,0.65882,1.44897,0.47029,0.05637,0.27974,0.34118,0.44897,0.52971,169,106,103,214,69,0.47029,0.02734,0.216309238,gini minimization and supply per capita maximization - 5k nfe,2020_drought
51,-0.143997781,-0.510462754,-0.099592021,-0.34070888,5.751,1.349,0,0.4,2.2,2.965703402,1.14727129,0.018934023,0.559715326,1.272125959,2.93292,0.75717,0.94351,0.78229,1.20143,1.01118,1.51521,0.02007,0.71548,1.05884,0.01118,0.51521,0.97993,0.28452,0.05884,162,223,3,106,155,0.02007,0.00107,0.308614648,gini minimization and supply per capita maximization - 5k nfe,2020_drought
52,-0.51438455,0.239196597,0.201095357,-0.969784556,5.751,1.349,0,0.4,2.2,2.724952002,0.659992712,0.310765806,0.391567536,1.876471944,2.93292,0.75717,0.94351,0.78229,1.20143,0.92909,0.87166,0.32937,0.50054,1.56187,0.07091,0.12834,0.67063,0.49946,0.56187,149,128,51,74,229,0.32937,0.00944,0.276067196,gini minimization and supply per capita maximization - 5k nfe,2020_drought
53,-0.779918971,0.836317223,0.552136641,0.609952101,5.751,1.349,0,0.4,2.2,2.552354629,0.271864305,0.470717379,1.590993736,1.077819951,2.93292,0.75717,0.94351,0.78229,1.20143,0.87024,0.35905,0.4989,2.03376,0.89711,0.12976,0.64095,0.5011,1.03376,0.10289,139,53,78,300,131,0.35905,0.01528,0.321749881,gini minimization and supply per capita maximization - 5k nfe,2020_drought
54,-0.808584168,0.363916497,-0.712609964,-0.151852826,5.751,1.349,0,0.4,2.2,2.533722251,0.578924777,0.985742199,1.114452912,0.75090786,2.93292,0.75717,0.94351,0.78229,1.20143,0.86389,0.76459,1.04476,1.4246,0.62501,0.13611,0.23541,0.04476,0.4246,0.37499,138,112,163,210,92,0.62501,0.00178,0.15917084,gini minimization and supply per capita maximization - 5k nfe,2020_drought
55,-0.891724065,-0.251453676,-0.228896349,0.600460367,5.751,1.349,0,0.4,2.2,2.479681318,0.978915389,0.271337738,1.657497421,0.576318134,2.93292,0.75717,0.94351,0.78229,1.20143,0.84547,1.29286,0.28758,2.11878,0.47969,0.15453,0.29286,0.71242,1.11878,0.52031,135,190,45,313,70,0.28758,0.04917,0.356308241,gini minimization and supply per capita maximization - 5k nfe,2020_drought
56,0.0323462,0.843048015,0.44732533,-0.899231848,5.751,1.349,0,0.4,2.2,3.08032699,0.26748929,0.543219745,0.082051809,1.990662166,2.93292,0.75717,0.94351,0.78229,1.20143,1.05026,0.35328,0.57574,0.10489,1.65691,0.05026,0.64672,0.42426,0.89511,0.65691,168,52,90,15,243,0.10489,0.02173,0.406408845,gini minimization and supply per capita maximization - 5k nfe,2020_drought
57,-0.354049692,-0.57095121,-0.867066458,-0.123415106,5.751,1.349,0,0.4,2.2,2.82916966,1.186588787,0.478474911,0.837490021,0.632026621,2.93292,0.75717,0.94351,0.78229,1.20143,0.96463,1.56714,0.50712,1.07056,0.52606,0.03537,0.56714,0.49288,0.07056,0.47394,155,230,79,158,77,0.50712,0.00305,0.229924215,gini minimization and supply per capita maximization - 5k nfe,2020_drought
58,0.941657514,0.522419426,-0.582158423,0.800133995,5.751,1.349,0,0.4,2.2,3.671379344,0.475897873,1.003975601,0.595587252,0.216909929,2.93292,0.75717,0.94351,0.78229,1.20143,1.25178,0.62852,1.06409,0.76134,0.18054,0.25178,0.37148,0.06409,0.23866,0.81946,201,92,166,112,26,0.18054,0.00366,0.265349551,gini minimization and supply per capita maximization - 5k nfe,2020_drought
59,-0.590672527,0.558439569,-0.953990409,0.466170029,5.751,1.349,0,0.4,2.2,2.675364817,0.45248478,1.269079485,1.374525202,0.192295715,2.93292,0.75717,0.94351,0.78229,1.20143,0.91218,0.5976,1.34506,1.75705,0.16006,0.08782,0.4024,0.34506,0.75705,0.83994,146,88,210,260,23,0.16006,0.06633,0.330384015,gini minimization and supply per capita maximization - 5k nfe,2020_drought
60,0.330218003,-0.30559768,0.109021786,-0.71873188,5.751,1.349,0,0.4,2.2,3.273943662,1.014108992,0.016497347,0.005760116,1.653439883,2.93292,0.75717,0.94351,0.78229,1.20143,1.11627,1.33934,0.01749,0.00736,1.37623,0.11627,0.33934,0.98251,0.99264,0.37623,179,197,3,1,202,0.00736,0.06602,0.421043952,gini minimization and supply per capita maximization - 5k nfe,2020_drought
61,0.977253017,0.477121917,0.629176346,0.650451729,5.751,1.349,0,0.4,2.2,3.694516421,0.505341254,0.187164622,0.475156702,1.101571001,2.93292,0.75717,0.94351,0.78229,1.20143,1.25967,0.66741,0.19837,0.60739,0.91688,0.25967,0.33259,0.80163,0.39261,0.08312,202,98,31,90,134,0.19837,0.00997,0.266550859,gini minimization and supply per capita maximization - 5k nfe,2020_drought
62,0.869298647,0.178165787,0.597173478,0.907473064,5.751,1.349,0,0.4,2.2,3.62434608,0.699662739,0.013645001,0.712390911,0.913705269,2.93292,0.75717,0.94351,0.78229,1.20143,1.23575,0.92405,0.01446,0.91065,0.76051,0.23575,0.07595,0.98554,0.08935,0.23949,198,136,2,135,111,0.01446,0.00331,0.271088204,gini minimization and supply per capita maximization - 5k nfe,2020_drought
63,0.01580906,0.934779177,0.358385365,-0.623209665,5.751,1.349,0,0.4,2.2,3.069577849,0.207864035,0.660655978,0.272215369,1.753436769,2.93292,0.75717,0.94351,0.78229,1.20143,1.04659,0.27453,0.70021,0.34797,1.45946,0.04659,0.72547,0.29979,0.65203,0.45946,168,40,109,51,214,0.27453,0.01868,0.320571673,gini minimization and supply per capita maximization - 5k nfe,2020_drought
64,-0.988976616,-0.382060098,-0.500502036,-0.002315949,5.751,1.349,0,0.4,2.2,2.416467159,1.063809564,0.362987259,1.328906974,0.791579043,2.93292,0.75717,0.94351,0.78229,1.20143,0.82391,1.40498,0.38472,1.69874,0.65886,0.17609,0.40498,0.61528,0.69874,0.34114,132,206,60,251,97,0.38472,0.09403,0.271496074,gini minimization and supply per capita maximization - 5k nfe,2020_drought
65,-0.673174716,0.484426348,0.684078277,-0.96571601,5.751,1.349,0,0.4,2.2,2.621738395,0.500593374,0.156226246,0.497425699,2.187766286,2.93292,0.75717,0.94351,0.78229,1.20143,0.8939,0.66114,0.16558,0.63586,1.82097,0.1061,0.33886,0.83442,0.36414,0.82097,143,97,26,94,267,0.16558,0.06583,0.341722343,gini minimization and supply per capita maximization - 5k nfe,2020_drought
